time,pressure,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_id,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1776184396.8221762,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.5456,0,7.7,0,0,0
1776184396.82228,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,2,7.76,0,7.8168,0,0,0,0,0,0,7.6864,0,7.6448
1776184396.822391,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,3,0,0,0,7.5056,0,0,7.2304,0,7.932,0,0,0
1776184396.8225362,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,4,8.4464,0,7.5768,0,0,0,0,0,0,7.5656,0,7.56
1776184396.8226674,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,5,0,0,0,7.5048,0,0,7.3296,0,7.78,0,0,0
1776184396.822798,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,6,7.9832,0,7.608,0,0,0,0,0,0,8.3992,0,7.5152
1776184396.8229384,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,7,7.5016,0,7.6704,0,0,0,0,0,0,7.5152,0,7.5272
1776184396.8230646,8.4464,-6.498316065073175e-07,-0.42906583583442104,0.2909408187665059,-0.26101730361893377,-0.2909421412602131,-0.2610167055576162,-0.29094235614481234,46.0,45.0,42.0,45.0,42.0,46.0,44.0,8,7.516,0,7.5168,0,0,0,0,0,0,7.5216,0,7.6688
1776184396.873585,8.4472,-6.498316065073175e-07,-0.39948451911773264,0.3201220023911758,-0.2871969575465551,-0.32012329843500886,-0.28719637144646387,-0.3201235090219161,46.0,45.0,42.0,45.0,42.0,46.0,44.0,0,7.6152,0,8.0256,0,0,0,0,0,0,7.968,0,8.0016
1776184396.8736145,8.4472,-6.498316065073175e-07,-0.39948451911773264,0.3201220023911758,-0.2871969575465551,-0.32012329843500886,-0.28719637144646387,-0.3201235090219161,46.0,45.0,42.0,45.0,42.0,46.0,44.0,1,0,0,0,7.6784,0,0,7.544,0,7.6984,0,0,0
