time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773781465.7064385,0.3333333333333333,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4512,0,0,0,0,0,0,7.456,0,7.6976
1773781465.9093606,0.358974358974359,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9512,0,0,0,0,0,0,7.912,0,7.8456
1773781465.910219,0.358974358974359,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6216,0,7.8312,0,0,0
1773781465.9109087,0.358974358974359,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6504,0,8.2608,0,0,0,0,0,0,7.876,0,7.5128
1773781465.9118571,0.358974358974359,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4792,0,0,7.384,0,7.8992,0,0,0
1773781465.9127865,0.358974358974359,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4296,0,7.5736,0,0,0,0,0,0,7.4464,0,7.4456
1773781465.9138434,0.358974358974359,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8768,0,0,0
1773781465.9148972,0.358974358974359,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9656,0,7.5144,0,0,0,0,0,0,8.3888,0,7.4544
1773781465.9156852,0.358974358974359,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5144,0,7.692,0,0,0,0,0,0,7.4568,0,7.4608
1773781465.9163687,0.358974358974359,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4416,0,7.4496,0,0,0,0,0,0,7.4576,0,7.6976
1773781466.1186917,0.3846153846153846,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.952,0,0,0,0,0,0,7.9112,0,7.8448
1773781466.120301,0.3846153846153846,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.864,0,0,7.6224,0,7.832,0,0,0
1773781466.1213174,0.3846153846153846,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6496,0,8.2824,0,0,0,0,0,0,7.8712,0,7.5128
1773781466.1225653,0.3846153846153846,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.48,0,0,7.3832,0,7.8984,0,0,0
1773781466.1236353,0.3846153846153846,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.428,0,7.5728,0,0,0,0,0,0,7.4464,0,7.444
1773781466.1248903,0.3846153846153846,5,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.468,0,0,7.4432,0,7.8768,0,0,0
1773781466.1267893,0.3846153846153846,6,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.9664,0,7.5136,0,0,0,0,0,0,8.3904,0,7.4536
1773781466.1280115,0.3846153846153846,7,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5144,0,7.6912,0,0,0,0,0,0,7.4544,0,7.4608
1773781466.1290076,0.3846153846153846,8,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.4424,0,7.4504,0,0,0,0,0,0,7.4576,0,7.6984
1773781466.3319979,0.41025641025641024,0,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.5656,0,7.9512,0,0,0,0,0,0,7.9128,0,7.8456
1773781466.3338082,0.41025641025641024,1,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.8632,0,0,7.6208,0,7.8312,0,0,0
1773781466.334976,0.41025641025641024,2,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,7.6512,0,8.2504,0,0,0,0,0,0,7.876,0,7.5104
1773781466.336499,0.41025641025641024,3,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,0,0,0,7.4792,0,0,7.3832,0,7.8984,0,0,0
1773781466.3377101,0.41025641025641024,4,0.0,-0.724,0.0,0.0,0.0,0.0,0.0,8.4288,0,7.5736,0,0,0,0,0,0,7.4464,0,7.444
