time,step,sensor_id,joint0,joint1,joint2,joint3,joint4,joint5,joint6,motor_temp0,motor_temp1,motor_temp2,motor_temp3,motor_temp4,motor_temp5,motor_temp6,sensor_temp,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
1773868958.5737443,0.1794871794871795,0,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.6048,0,8.0216,0,0,0,0,0,0,7.9528,0,7.8672
1773868958.5759022,0.1794871794871795,1,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.7024,0,0,7.5592,0,7.7184,0,0,0
1773868958.5776036,0.1794871794871795,2,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,7.6664,0,7.0288,0,0,0,0,0,0,7.6368,0,7.4984
1773868958.5793102,0.1794871794871795,3,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4568,0,0,7.2672,0,7.748,0,0,0
1773868958.5815225,0.1794871794871795,4,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,37.0,8.4808,0,7.3712,0,0,0,0,0,0,7.4776,0,7.4656
1773868958.5837069,0.1794871794871795,5,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,0.0,0,0,0,7.4608,0,0,7.3552,0,7.7352,0,0,0
1773868958.5857368,0.1794871794871795,6,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.9024,0,7.5464,0,0,0,0,0,0,8.3576,0,7.4664
1773868958.5879047,0.1794871794871795,7,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4872,0,7.6792,0,0,0,0,0,0,7.4616,0,7.4768
1773868958.589492,0.1794871794871795,8,0.0,0.03108717948717951,0.7448717948717949,-0.6682564102564102,-0.7448717948717949,-0.6682564102564102,-0.7448717948717949,47.0,49.0,44.0,46.0,41.0,47.0,43.0,41.0,7.4664,0,7.4824,0,0,0,0,0,0,7.4784,0,7.6904
1773868958.7930365,0.20512820512820512,0,0.0,0.06292820512820513,0.7762820512820513,-0.6964358974358975,-0.7762820512820513,-0.6964358974358975,-0.7762820512820513,47.0,49.0,44.0,46.0,41.0,47.0,43.0,40.0,7.6048,0,8.0216,0,0,0,0,0,0,7.952,0,7.8688
